config,trial,detect,job_to_pod,sched,post_sched,podstart,total,_pull_ms
poll1,0,766.5,13.0,8.9,783.8,792.7,1572.2,
poll1,1,549.5,10.9,8.9,1902.7,1911.6,2472.0,1314.0
poll1,2,743.9,8.0,7.9,509.2,517.2,1269.1,
poll1,3,373.8,8.9,9.1,542.3,551.4,934.1,
poll1,4,304.3,7.2,6.5,529.9,536.4,847.9,
poll1,5,972.8,10.8,9.5,533.4,542.8,1526.4,
poll1,6,757.0,8.8,7.5,519.8,527.3,1293.1,
poll1,7,288.7,9.7,5.3,511.6,516.8,815.2,
poll1,8,150.4,6.2,5.7,526.5,532.2,688.8,
poll1,9,952.3,5.8,6.2,508.5,514.7,1472.8,
poll1,10,352.9,3.3,4.2,499.2,503.4,859.6,
poll1,11,398.5,16.2,13.2,534.2,547.4,962.1,
poll1,12,620.5,9.5,8.9,541.6,550.5,1180.5,
poll1,13,324.3,7.6,7.5,814.6,822.1,1154.0,
poll1,14,27.9,5.4,8.5,520.5,529.0,562.3,
poll1,15,161.4,3.6,4.5,530.7,535.2,700.2,
poll1,16,7.3,3.9,5.1,503.3,508.4,519.6,
poll1,17,477.7,12.3,6.9,508.7,515.6,1005.6,
poll1,18,9.0,3.7,8.7,516.7,525.5,538.1,
poll1,19,856.1,8.3,4.9,528.1,533.0,1397.4,
slim_cold,0,105.2,4.9,5.4,2154.0,2159.4,2269.5,1311.0
slim_cold,1,543.2,8.1,12.6,1727.3,1739.9,2291.2,1178.0
slim_cold,2,328.4,4.1,7.9,1677.5,1685.4,2017.9,1155.0
slim_cold,3,302.6,12.1,6.8,1702.7,1709.5,2024.2,1177.0
slim_cold,4,889.4,7.9,8.9,1769.1,1778.0,2675.4,1209.0
slim_cold,5,351.9,12.0,10.0,1694.7,1704.7,2068.6,1164.0
slim_cold,6,838.5,7.7,11.5,1752.3,1763.7,2609.9,1204.0
slim_cold,7,672.1,5.9,7.1,1734.6,1741.7,2419.7,1243.0
slim_cold,8,159.0,13.0,9.5,2463.9,2473.4,2645.5,1389.0
slim_cold,9,666.2,11.5,13.1,1980.7,1993.8,2671.5,1296.0
slim_cold,10,983.0,7.8,8.0,1826.5,1834.4,2825.2,1279.0
slim_cold,11,960.1,9.4,31.8,1727.7,1759.5,2729.0,1203.0
slim_cold,12,652.2,7.5,11.8,1756.8,1768.5,2428.3,1235.0
slim_cold,13,593.8,11.8,6.8,1658.9,1665.8,2271.4,1133.0
slim_cold,14,814.4,10.0,7.4,1702.6,1710.0,2534.5,1183.0
slim_cold,15,634.0,8.3,8.1,1732.4,1740.5,2382.8,1181.0
slim_cold,16,689.3,4.5,9.2,1709.1,1718.3,2412.2,1188.0
slim_cold,17,643.1,6.0,11.6,1677.6,1689.2,2338.3,1155.0
slim_cold,18,892.6,11.2,7.8,2077.0,2084.8,2988.6,1222.0
slim_cold,19,890.7,9.5,8.9,1851.2,1860.1,2760.3,1313.0
